Date,Customer_ID,Customer_Segment,Region,City,Category,Product,Price,Quantity,Total_Amount,Discount_Rate,Discount_Amount,Final_Amount,Sales_Channel,Payment_Method,Year,Month,Quarter,Day_of_Week,Day_of_Year,Week_of_Year,Is_Weekend,Is_Holiday_Season,Is_Summer,Total_Spent,Order_Count,Avg_Order_Value,First_Order,Last_Order,Customer_Lifetime_Days,Product_Revenue,Product_Orders,Product_Avg_Price,Product_Quantity_Sold,Category_Revenue,Category_Orders,Category_Avg_Price,Category_Quantity_Sold,Region_Revenue,Region_Orders,Region_Avg_Order,Region_Customers,Channel_Revenue,Channel_Orders,Channel_Avg_Order,Payment_Revenue,Payment_Orders,Payment_Avg_Order,Segment_Revenue,Segment_Orders,Segment_Avg_Order,Segment_Customers,Estimated_Cost,Estimated_Profit,Profit_Margin,Customer_Value_Tier
2022-08-17,CUST_9935,Regular,Asia,Singapore,Electronics,Smartwatch,451.17,2,902.34,0.0,0.0,992.57,Online,Bank Transfer,2022,8,3,Wednesday,229,33,False,False,True,992.57,1,992.57,2022-08-17,2022-08-17,0,965973.36,169,5715.82,844,7233331.08,1193,6063.14,6414,3827136.57,2421,1580.81,2132,4014923.32,2552,1573.25,3168358.48,1962,1614.86,4186855.1,2525,1658.16,2227,270.702,451.16600000000005,45.4543256395015,Gold
2024-05-14,CUST_4257,Regular,North America,Los Angeles,Electronics,Laptop,1109.64,2,2219.28,0.0,0.0,2219.28,Phone,Debit Card,2024,5,2,Tuesday,135,20,False,False,False,2219.28,1,2219.28,2024-05-14,2024-05-14,0,1219301.46,210,5806.2,1134,7233331.08,1193,6063.14,6414,3979222.64,2475,1607.77,2160,4002905.57,2476,1616.68,3237322.3,2022,1601.05,4186855.1,2525,1658.16,2227,665.784,887.7120000000002,40.00000000000001,Platinum
2024-07-08,CUST_6514,Budget,Europe,Madrid,Books,Fiction,14.78,6,88.68,0.1,8.87,87.8,Online,Credit Card,2024,7,3,Monday,190,28,False,False,True,138.07,2,69.04,2022-07-06,2024-07-08,733,37297.98,225,165.77,1175,198801.01,1192,166.78,6439,4233105.72,2507,1688.51,2180,4014923.32,2552,1573.25,3184046.42,2054,1550.17,4802112.68,2570,1868.53,2218,8.867999999999999,34.592000000000006,39.3986332574032,Silver
2024-02-18,CUST_9785,Budget,Asia,Bangkok,Clothing,Dress,115.7,12,1388.38,0.1,138.84,1249.54,Online,Digital Wallet,2024,2,1,Sunday,49,7,True,False,False,1585.78,3,528.59,2024-02-18,2024-10-23,248,135770.98,227,598.11,1126,755914.15,1272,594.27,6615,3827136.57,2421,1580.81,2132,4014923.32,2552,1573.25,3314861.11,2038,1626.53,4802112.68,2570,1868.53,2218,69.42,416.5,33.33226627398883,Platinum
2022-06-11,CUST_4733,Regular,Asia,Bangkok,Books,Children,38.18,2,76.37,0.0,0.0,84.0,Mobile App,Credit Card,2022,6,2,Saturday,162,23,True,False,True,2859.17,4,714.79,2022-06-11,2024-06-14,734,30145.14,193,156.19,991,198801.01,1192,166.78,6439,3827136.57,2421,1580.81,2132,4246388.07,2508,1693.14,3184046.42,2054,1550.17,4186855.1,2525,1658.16,2227,22.907999999999998,38.184000000000005,45.45714285714286,Platinum
2023-04-22,CUST_4432,Budget,Asia,Hong Kong,Clothing,Shoes,34.49,9,310.45,0.1,31.04,279.4,Mobile App,Credit Card,2023,4,2,Saturday,112,16,True,False,False,279.4,1,279.4,2023-04-22,2023-04-22,0,137547.5,231,595.44,1188,755914.15,1272,594.27,6615,3827136.57,2421,1580.81,2132,4246388.07,2508,1693.14,3184046.42,2054,1550.17,4802112.68,2570,1868.53,2218,20.694,93.154,33.34073013600573,Silver
2022-12-17,CUST_4598,Budget,Australia,Perth,Sports,Tennis Racket,208.02,15,3120.3,0.1,312.03,3650.75,Mobile App,Credit Card,2022,12,4,Saturday,351,50,True,True,False,3650.75,1,3650.75,2022-12-17,2022-12-17,0,235335.84,258,912.15,1379,1162542.94,1267,917.56,6819,4024694.57,2597,1549.75,2244,4246388.07,2508,1693.14,3184046.42,2054,1550.17,4802112.68,2570,1868.53,2218,124.812,1778.57,48.717934670958016,Platinum
2023-04-15,CUST_6155,Premium,Australia,Brisbane,Electronics,Tablet,869.65,5,4348.27,0.1,434.83,3913.44,In-Store,Digital Wallet,2023,4,2,Saturday,105,15,True,False,False,36633.28,5,7326.66,2022-01-02,2024-08-08,949,1247599.82,203,6145.81,1181,7233331.08,1193,6063.14,6414,4024694.57,2597,1549.75,2244,3799942.54,2464,1542.18,3314861.11,2038,1626.53,3144053.49,2426,1295.98,2130,521.79,1304.4900000000002,33.33358886299522,Platinum
2024-03-21,CUST_5304,Regular,Asia,Singapore,Toys,Action Figures,79.6,10,795.99,0.1,79.6,716.39,Phone,Bank Transfer,2024,3,1,Thursday,81,12,False,False,False,716.39,1,716.39,2024-03-21,2024-03-21,0,76781.17,248,309.6,1290,427069.18,1315,324.77,6837,3827136.57,2421,1580.81,2132,4002905.57,2476,1616.68,3168358.48,1962,1614.86,4186855.1,2525,1658.16,2227,47.76,238.79000000000002,33.332402741523474,Gold
2024-03-28,CUST_2796,VIP,Europe,Rome,Beauty,Makeup,54.55,1,54.55,0.05,2.73,51.82,In-Store,Debit Card,2024,3,1,Thursday,88,13,False,False,False,1803.69,3,601.23,2023-03-17,2024-10-27,590,109767.69,249,440.83,1310,562465.16,1244,452.14,6707,4233105.72,2507,1688.51,2180,3799942.54,2464,1542.18,3237322.3,2022,1601.05,3931138.23,2479,1585.78,2186,32.73,19.090000000000003,36.83905827865689,Platinum
