Date,Customer_ID,Customer_Segment,Region,City,Category,Product,Price,Quantity,Total_Amount,Discount_Rate,Discount_Amount,Final_Amount,Sales_Channel,Payment_Method,Year,Month,Quarter
2022-08-17,CUST_9935,Regular,Asia,Singapore,Electronics,Smartwatch,451.17,2,902.34,0.0,0.0,992.57,Online,Bank Transfer,2022,8,3
2024-05-14,CUST_4257,Regular,North America,Los Angeles,Electronics,Laptop,1109.64,2,2219.28,0.0,0.0,2219.28,Phone,Debit Card,2024,5,2
2024-07-08,CUST_6514,Budget,Europe,Madrid,Books,Fiction,14.78,6,88.68,0.1,8.87,87.8,Online,Credit Card,2024,7,3
2024-02-18,CUST_9785,Budget,Asia,Bangkok,Clothing,Dress,115.7,12,1388.38,0.1,138.84,1249.54,Online,Digital Wallet,2024,2,1
2022-06-11,CUST_4733,Regular,Asia,Bangkok,Books,Children,38.18,2,76.37,0.0,0.0,84.0,Mobile App,Credit Card,2022,6,2
2023-04-22,CUST_4432,Budget,Asia,Hong Kong,Clothing,Shoes,34.49,9,310.45,0.1,31.04,279.4,Mobile App,Credit Card,2023,4,2
2022-12-17,CUST_4598,Budget,Australia,Perth,Sports,Tennis Racket,208.02,15,3120.3,0.1,312.03,3650.75,Mobile App,Credit Card,2022,12,4
2023-04-15,CUST_6155,Premium,Australia,Brisbane,Electronics,Tablet,869.65,5,4348.27,0.1,434.83,3913.44,In-Store,Digital Wallet,2023,4,2
2024-03-21,CUST_5304,Regular,Asia,Singapore,Toys,Action Figures,79.6,10,795.99,0.1,79.6,716.39,Phone,Bank Transfer,2024,3,1
2024-03-28,CUST_2796,VIP,Europe,Rome,Beauty,Makeup,54.55,1,54.55,0.05,2.73,51.82,In-Store,Debit Card,2024,3,1
2024-05-14,CUST_1188,VIP,Australia,Adelaide,Clothing,Shoes,230.48,5,1152.41,0.15,172.86,979.54,Online,Bank Transfer,2024,5,2
2023-07-01,CUST_9201,Regular,Asia,Hong Kong,Beauty,Skincare,76.25,6,457.52,0.1,45.75,452.94,In-Store,Bank Transfer,2023,7,3
